,Review,Rating
27,อยู่ใกล้วัดพระแก้วเดินไปแค่ประมาณ10นาทีดีเหมาะสำหรัลคนมาเที่ยว,3.5
28,ดีมากครับ เยี่ยมเลย,5.0
29,ห้องพักกว้าง สะอาด เตียงนุ่ม มีอ่างจากุชชี่ด้วยค่ะ ห้องที่ได้เป็น City view มองออกไปจะเห็นสนามหลวงพอดี อาหารเช้าเป็นแบบ a la cart เพราะน่าจะเป็นช่วงแขกน้อย เลยไม่ได้เปิดบุฟเฟต์ แต่ก็อร่อยและให้เยอะมากๆค่ะ ทานตอนเช้าอิ่มถึงเย็นเลย พี่ๆพนักงานก็ให้บริการดีค่ะ น่ารักทุกคน แต่ที่ประทับใจที่สุดคือโลเคชั่นของโรงแรมดีมาก ถือว่าเป็นโรงแรมที่อยู่ในทำเลที่ดีที่สุดเลยก็ว่าได้ เพราะใกล้วัดหลายๆแห่ง ทั้งเสาหลักเมือง วัดพระแก้ว วัดโพธิ์ นั่งเรือข้ามจากท่าเตียนไปก็เป็นวัดอรุณ วัดราชนัดดา วัดเทพธิดา วัดภูเขาทอง วัดสุทัศน์ เสาชิงช้า ใกล้มากซะจนเดินไปวัดได้สบายๆ หรือจะเดินกลับโรงแรมตอนกลางคืนก็ได้ชิวๆเลยค่ะ เราไปทริปวัด เลยเลือกพักโรงแรมนี้ ถือว่าเป็นการตัดสินใจที่ดีที่สุดเลยค่ะ ประทับใจที่สุด,4.7
30,เข้าออกสะดวกดี เตียงนุ่มนอน สบาย,3.5
31,ทำเลที่ตั้งที่ไม่ค่อยสะดวกสำหรับคนที่จะไปเที่ยว,2.2
32,ภายในโรงแรมสภาพดี มาใช้บริการหลายครั้งตั้งแต่หลายปีแล้ว,4.0
33,ห้องที่เข้าพัก มีกลิ่นอับนิดหน่อย ขอเปลี่ยนห้อง ตอนแรกบอกว่าเต็ม พออีกวันขอเปลี่ยน แต่พนักงานบอกว่า อัพห้องให้แล้ว เลยสงสัยว่า อัพห้องยังไง ยังได้ห้องเดิม พูดจาน้ำเสียงไม่ค่อยดีค่ะ อยากให้อบรมตรงนี้ มีประโยชน์,2.7
34,พนักงานหน้าฟร้อนท์บางคนนิสัยดี มีน้ำใจ แต่บางคนหน้าไม่ต้อนรับแขก ตึกหลังพรมสีทึบ เหมือนอยู่ในคุก มีประโยชน์,2.2
35,ทำเลดีใกล้ถนนข้าวสาร และสถานที่ท่องเที่ยวสำคัญๆ แต่โรงแรมเก่ามากแล้ว ห้องพักยังคงสไตล์โบราณ ปลั๊กไฟยังเป็นระบบ 2 ขา ประตูห้องและประตูเชื่อมห้องสามารถเห็นอีกฝั่งได้ ใครพูดอะไรได้ยินหมดเลย และแอร์ไม่ค่อยเย็น มีดีที่น้ำฝักบัวแรงอย่างเดียว มีประโยชน์,3.5
36,ดีค่ะ ราคาถูก มีอ่างอาบน้ำด้วย แอร์เย็น เตียงนอน สบาย แต่ รร ค่อนข่างเก่าหน่อยตามสภาพค่ะ แต่สะอาดสะอ้านอยุ่นัคะ มีประโยชน์,5.0
37,โรงแรมมี2 โซน รู้สึกจะเป็นตึกเก่าและตึกใหม่ วันที่ไปพักตึกด้านหน้าเต็ม เพราะเนื่องจากมีงานรับปริญญา คนไปใช้บริการเยอะ เราเลยได้ไปพักที่ตึกด้านหลัง ซึ้งห้องเป็นไม้และเก่ามาก มีกลิ่นอับๆ น่ากลัว เลยโทรขอเปลี่ยนห้องทันทีเพราะสภาพห้องไม่ตรงกับที่จองมา พนักงานก็เปลี่ยนห้องให้ ได้มาอยู่ตึกหน้า ห้องภายในสวย ตกแต่งแนววินเทจ ห้องน้ำสะอาด ไม่มีกลิ่นอับเก่าๆ รวมๆแล้วดีเลย นอนหลับสบาย มีประโยชน์,3.2
38,โรงแรมมีการปรับปรุงใหม่ดูดีและทันสมัยขึ้น มีสระว่ายน้ำให้บริการ ทำเลที่ตั้งดีใกล้สถานที่ท่องเที่ยว เป็นโรงแรมที่น่าสนใจมากในการเข้าพักครับ มีประโยชน์,4.7
39,ดีเลิศน่าพักมาก,4.0
40,เข้าพักห้องแรกแอร์ไม่เย็นเลยให้ช่างมาซ่อมก็ไม่เย็น พนักงานเลยเปลี่ยนห้องให้ แต่ดันเปลี่ยนเป็นห้องเตียงคู่ ซึ่งอยากได้ห้องเตียงเดี่ยวพนักงานก็เปลี่ยนให้อีก กว่าจะได้นอนก็เที่ยงคืนเหนื่อยมาก โรงแรมมีเสียงรถยนต์ดังมาจากข้างนอก สะดุ้งตื่นทั้งคืน ไม่เหมาะกันคนที่อยากพักผ่อนเลย น้ำร้อนดี เตียงนุ่ม แต่ล้อบบี้บรรยากาศวังเวงแปลกๆ ลิฟท์ค่อนข้างแคบ มีเงินมัดจำ500บาท มีประโยชน์,2.2
41,ห้องสะอาด แอร์เย็น ห้องพักติดถนน มีเสียงรถยนต์เข้ามาภายในห้องไม่เหมาะกับคนที่นอนหลับยากครับ มีประโยชน์,4.2
42,ดีมาก ราคาคือไม่แพงเลย นอนสบาย ไม่ต้องกังวลอะไรเลย ปลอดภัย,5.0
43,โรงแรมปรับปรุงใหม่ น่าอยู่ ใกล้แหล่งท่องเที่ยว พนักงานบริการน่ารัก สิ่งอำนวยความสะดวกครบ เยี่ยมมากค่ะ มีประโยชน์,4.0
44,พนังงานที่บริการดีสุดน่าจะเป็น รปภ.ลานจอดรถ ไป รร.ไหน ไม่เคยเจอ reception บริการแบบนี้ (ตอน check-in คือยุ่งยาก) (ตอนเช็คเอ้าท์พูดดีปกติ) เรื่องห้องเข้าพักมีกลิ่นอับ ระบบไฟฟ้ามีปัญหานิดหน่อย โทรหาล็อบบี้ ล็อบบี้พูดดีนะ แต่ช่างที่ขึ้นมาดูให้ พูดไม่ค่อยดีทั้งแต่ในสายเลย ไปมากี่ รร. ไม่เคยเจอแบบนี้ เยี่ยมๆคงไม่ไปใช้บริการอิกอ่ะครับ มีประโยชน์,1.7
45,เป็นการเข้าพักที่โรงแรมเป็นครั้งแรกแต่ประทับใจมากกค่ะเวลามา กทม จะมาพักที่นี่อีกค่ะ มีประโยชน์,5.0
46,พนักงานพูดไม่น่ารักในบางครั้ง ซึ่งงานบริการควรสุภาพมากกว่านี้ พนักงานหายจากเคาน์เตอร์ด้านบน ซึ่งไม่ควรมากๆ มีประโยชน์ (1),4.5
47,โรงแรมดีมาก สะอาดมากๆ พนักงานบริการดีมากๆๆๆ ห้องสวย ที่จอดรถกว้างมาก คุ้มค่าห้องมากๆ ประทับใจสุดๆ ค่ะ ถ้าไป กทม. อีก จะจองที่นี่อีกค่ะ ❤️❤️❤️❤️ มีประโยชน์,5.0
48,เดินไปไหนก็ง่าย ใกล้สนามหลวง และสถานที่สวยๆอีกมากมาย เงียบสงบ ยกเว้นเสียงเครื่องปรับอากาศ ห้องกว้างขวาง สะอาดสะอ้าน พนักงานบริการดีทุกคน รวมๆคือชอบมาก มีโอกาสจะแวะพักที่นี่อีก มีประโยชน์,4.5
49,ห้องพักสะอาด แต่ไม่ค่อยเก็บเสียง เตียงที่ผมนอนเสียงดังมาก แต่โดยรวมดีครับ พรักงานบริการดี มีประโยชน์,5.0
50,บริการดี เดินทางสะดวก บริการดี เดินทางสะดวก บริการดี เดินทางสะดวก บริการดี เดินทางสะดวก มีประโยชน์,5.0
51,ที่พักสะอาดสะอ้านมีความสวยงามปลอดภัยมีที่จอดรถมีสระว่ายน้ำสะดวกในการเดินทางเยี่ยมชมสถานที่ต่างๆโบราณสถานมีความสวยงามมีประวัติความเป็นมามีประวัติเกี่ยวกับกรุงเทพมหานคร มีประโยชน์,5.0
52,อาหารอร่อยใช้ได้ กาแฟหอมละมุนมาก มีโอกาสจะใช้บริการอีก ราคาถูกใจค่ะ มีประโยชน์,1.5
53,เห็นเหมือนเงียบๆ แต่ไม่มีผีนะคะ สบายไม่มีคนรบกวน สะอาดมากด้วย ถึงจะรีนูเวทก็สะอาด มีประโยชน์,4.5
54,โอเคเลยครับ ใจกลางเมือง เดินทางสะดวก หาของกินง่าย ห้องน้ำสะอาดครับ มีประโยชน์,3.7
55,การบริการค่อนข้างดี แม่บ้านน่ารัก ห้องพักสะอาด สะดวกสบาย มีประโยชน์,4.5
56,การบริการดี..โรงแรมสะอาด..พนักงานดูแลลูกค้าเป็นอย่างดี มีประโยชน์,4.7
57,ที่พักสะอาดค่ะ พนักงานบริการดี วิวดี มีประโยชน์,4.5
58,สะอาดเเล้วเงียบดี อยู่ใกล้สถานที่ท่องเที่ยว มีประโยชน์,4.2
59,ห้องพักสะอาด พนักงานบริการดี มีประโยชน์,4.5
