,Review,Rating
32,จองห้อง queen หน้าต่างเปิด แต่ได้ห้อง หน้าต่างปิด ที่เหลืออย่างอื่น โอเค,4.2
33,คือดีงามมากทุกอย่างเริ่ด พนักงานน่ารักเป็นกันเอง เลิฟ เล,4.7
34,ห้องพักสะอาดดี แต่อยู่ในซอย รร มีรถรางรับส่งรถไฟฟ้า เครื่องนอนดีดูดวิญญาณ,4.0
35,พนักงานต้อนรับต้อนรับบริการดีมากครับ โดยเฉพาะอย่างยิ่งน้องนัท มีประโยชน์,5.0
36,ห้องพักสะอาด บริการดี ใกล้บีทีเอส มีประโยชน์,4.2
37,สะอาด สะดวก เงียบสงบ บริการดีค่ะ,5.0
38,อาหารเช้าน้อยไปหน่อย มีประโยชน์,3.7
39,บริการดีค่ะ ห้องพักสะอาด มีประโยชน์,5.0
40,ดีครับ สะดวก มีประโยชน์,4.0
41,ห้องพักดีสะอาด มีประโยชน์,5.0
42,ดีเยี่ยม มีประโยชน์,5.0
43,เซ็นทรัลเวิลด์ สยามพารากอน ตลาดประตูน้ำ ศาลพระพรหมเอราวัณ และสวนลุมพินี ล้วนอยู่ติดกับห้างสรรพสินค้าซึ่งสะดวกมาก ข้อความเดิม แปลโดย Google,5.0
44,พนักงานทำความสะอาดบนชั้นสองช่วยเหลือดีมาก เขามักจะถามว่าฉันต้องการอะไรหรือไม่ และพนักงานชั้นล่าง(ชุดพื้นเมือง) ส้ม(ช่วยเปลี่ยนผ้า) และโดยเฉพาะน้าเป็นกันเองมาก(ถ่ายรูปให้ด้วย) ข้อความเดิม แปลโดย Google,4.5
45,โรงแรมเรียบง่าย สบายดี แต่มีข้อเสนอดีๆ อย่างหนึ่ง นั่นคือชุดไทย มันดีและคุณสามารถถ่ายรูปได้รอบ ๆ สตูดิโอ ข้อความเดิม แปลโดย Google,3.0
46,โรงแรมแห่งนี้มีแนวคิดเก๋ไก๋และวินเทจ เราได้รับการอัปเกรดห้องดีลักซ์ฟรีเมื่อห้องของเราไม่พร้อม มีบริการรถบั๊กกี้ไปส่งที่ถนนใหญ่เพื่อเดินต่อไปยังสถานีรถไฟฟ้าบีทีเอส ไม่ใกล้ตลาดประตูน้ำ อย่างไรก็ตาม โรงแรมยังคงสามารถเข้าถึงได้โดยระบบขนส่งสาธารณะ ข้อความเดิม แปลโดย Google,4.2
47,มันคุ้มค่าที่จะชื่นชม 10 โมงเช้าดีกว่าการเช็คอินของฉันแล้ว พนักงานต้อนรับสุภาพมาก ￼สิ่งอำนวยความสะดวกในห้อง ￼เครื่องปรับอากาศมีเสียงดังนิดหน่อย เครื่องเป่าผมเสีย ￼ว่ายน้ำ สระว่ายน้ำไม่ใหญ่เกินไป ￼อุปกรณ์ห้องฟิตเนสยังใหม่ ￼โรงแรมมีอาหารเช้าให้เลือกหลากหลาย และ ￼ไม่มีเซอร์ไพรส์หรืออาหารตอนกลางคืน เพราะมี 7-11 อยู่ชั้นล่าง และ ￼รถชัทเทิลบัสรับส่ง ไปมา. ข้อความเดิม แปลโดย Google,4.7
48,ทำเลดี. อาหารเช้าของโรงแรมไม่เลว มีรถตุ๊กตุ๊กรับส่งฟรีในบางจุดดังรูป แต่เราไม่ได้ลองใช้บริการนี้ ข้อความเดิม แปลโดย Google,4.2
49,โรงแรมสะอาดและดีมาก พนักงานเป็นกันเองและช่วยเหลือดี และทำเลที่ตั้งดีเยี่ยม จะกลับมาที่นี่อีกแน่นอน ข้อความเดิม แปลโดย Google,5.0
50,พนักงานมีความเป็นมืออาชีพมาก มีการจัดการที่ดี และอาหารก็อร่อยมาก ฉันวางแผนที่จะกลับมาอีกครั้ง สถานที่นี้ยังจัดและสะอาดมาก ข้อความเดิม แปลโดย Google,4.7
51,สะอาด บริการดี ต้องมาอีก! ใกล้กับนานาพลาซ่า จองโรงแรมชัวร์ เข้าพัก comfirm stay very nice สระว่ายน้ำที่ lever 9 ข้อความเดิม แปลโดย Google,5.0
52,การเดินทางไปยังโรงแรมด้วยการเดินเท้า 🦶 เป็นเรื่องที่ท้าทายสำหรับคนใจเสาะ ไม่มีทางเท้าสำหรับคนเดินถนน และซอยแคบๆ กลายเป็นเลน 2 ทางร่วมกับใครก็ตามที่เดิน อย่างไรก็ตามหลังจากเดินไม่กี่ก้าวก็ชินแล้ว! จุดบวกของโรงแรมคือพนักงานที่มุ่งเน้นการบริการและทำให้การเข้าพักของคุณน่าจดจำ มีตู้ขายของอัตโนมัติ 7-11 และก้อนน้ำแข็งฟรีทุกวันตลอด 24 ชั่วโมง ห้องพักสวย แต่พื้นที่อาบน้ำค่อนข้างเล็กและพื้นกระเบื้องลื่น ตลาดประตูน้ำอยู่ห่างออกไปไม่ไกล แต่การเดินอาจเป็นเรื่องยากเนื่องจากถนนที่นำไปสู่ตลาดแคบมากและการจราจรหนาแน่น ข้อความเดิม แปลโดย Google,4.0
53,พนักงานโรงแรมมีความเป็นมิตรและการดูแลทำความสะอาดมีประสิทธิภาพและเรียบร้อยจริงๆ อาหารเช้าก็ดีเหมือนกัน ห้องพักของโรงแรมสะอาดและให้ความรู้สึกเย็นสบายที่สระว่ายน้ำบนชั้นดาดฟ้า จะพักที่นี่อีกแน่นอน! นอกจากนี้ยังมีบริการรถบักกี้พาคุณออกไปที่ถนนใหญ่เพราะเดินไกลไปหน่อยถึงถนนใหญ่ อย่างไรก็ตาม โปรดทราบว่าสำหรับชาวต่างชาติที่มาพักที่โรงแรมและหากคุณต้องการนั่งรถกลับ คุณจะต้องใช้หมายเลขภาษาไทยท้องถิ่นเพื่อโทรหาพวกเขาเพื่อรับคุณที่จุดที่กำหนด (ไม่มี whatsapp/line) โดยรวมแล้วเป็นโรงแรมที่ยอดเยี่ยม! ข้อความเดิม แปลโดย Google,4.7
54,พนักงานน่ารัก ราคาไม่แพง บุฟเฟ่ต์อาหารเช้าอร่อย! ขอแนะนำอย่างยิ่ง! บริการรถบักกี้ของพวกเขาเป็นจุดบวก! พวกเขาสามารถขับรถคุณไปที่ 7/11 ที่ใกล้ที่สุดและร้านนวด ข้อความเดิม แปลโดย Google,4.7
55,นี่เป็นครั้งที่สองที่มาพักที่นี่ ฉันได้รับประสบการณ์ที่น่าตื่นตาตื่นใจในการเข้าพักครั้งแรก ดังนั้นฉันจึงเลือกพักอีกครั้ง แต่ครั้งนี้ไม่เป็นไปตามคาด ขอโฟลว์สูงพร้อมวิว ได้ชั้นกลาง พอใช้ได้ แต่ไม่มีวิว ฝั่งตรงข้ามหน้าต่างเป็นตึกอื่น และใกล้มากกับตึกนั้น ห่างออกไปประมาณ 1 หรือ 2 ฟุต ดังนั้นไม่มีการระบายอากาศเลยและห้องก็ไม่มีแสงจากภายนอกและให้ความรู้สึกเหมือนตอนกลางคืนตลอดเวลา พัก 3 คืน ขอห้องแต่งหน้าทุกวัน แต่พอกลับมาไม่ได้แต่งหน้าเลย เลยต้องโทรเรียกพนักงานต้อนรับ พนักงานมาทำความสะอาดตอนเราอยู่ในห้องไม่สะดวกเลย สระว่ายน้ำปิดให้บริการและไม่สามารถใช้งานได้ทั้งวัน อาหารเช้าเป็นสิ่งที่ดี โดยรวมแล้วได้รับประสบการณ์ที่ไม่ดีสำหรับการเข้าพักครั้งนี้ ไม่แน่ใจว่าจะพักที่นี่อีก ข้อความเดิม แปลโดย Google,2.5
56,โรงแรมที่แย่ที่สุดที่ฉันเคยเจอมา! ไม่มีเลย! สุขอนามัยแย่มาก ยกเว้นเตียง อย่างอื่นสกปรก ฝาชักโครกหัก ฉันไปที่แผนกต้อนรับเพื่อบ่นเรื่องสุขอนามัยที่ไม่ดีและขอเปลี่ยนห้อง แผนกต้อนรับสดชื่นมาก หนึ่งห้องถูก ทำความสะอาดเล็กน้อย แต่ยังทำความสะอาดไม่เพียงพอ ในห้องมีกลิ่นแรงแต่มีเสียงดังมากเมื่อเปิดหน้าต่างไว้พิจารณาว่านอนไม่ค่อยหลับเลยเช็คเอาท์ Ctrip พยายามอย่างหนักที่จะเจรจาแต่ทางโรงแรมไม่ตกลงที่จะยกเลิก Ctrip ให้ซองแดง 100 เยน ฉันรู้สึกขอบคุณลูกค้ามากสำหรับความอดทนสูงในการจัดการการสื่อสาร ถึงไม่คืนเงินก็ต้องเช็คเอ้าท์ซึ่งแย่มาก! ! ! ข้อความเดิม แปลโดย Google,2.0
57,พนักงานเป็นกันเองดี ห้องตามรูป. ขอบคุณพนักงาน (ลืมถามชื่อ) ที่ขับรถพาไปประตูน้ำ จุด bts กระตือรือร้นและอัธยาศัยดีมาก ข้อความเดิม แปลโดย Google,5.0
58,โดยรวมแล้วดีมาก พนักงานโรงแรมทุกคนเป็นกันเองและช่วยเหลือดีมาก ข้อความเดิม แปลโดย Google,5.0
59,พนักงานเป็นกันเองและช่วยเหลือดีมาก! สถานที่ยังอยู่ใกล้กับสถานที่ต่างๆมากมายสะดวกมาก! ข้อความเดิม แปลโดย Google,5.0
