,Review,Rating
45,ไปพักคนเดียวแต่พนักงานอัพเกรดห้องเป็นห้อง Family ให้จากที่จ่ายพันกว่าบาท ได้ห้องเกือบห้าพัน คุ้มมากๆครับ,10
46,ห้องเก่า แต่สะอาด เตียงนอนสบาย วิวสวย อาหารเช้าใช้ได้,9.1
47,ได้อัฟเกรดห้อง เพราะห้องที่จองเหม็นบุหรี่มาก ห้องใหญ่มาก สะอาด เตียงนอนสบาย วิวสวย แต่ห้องเก่า พรมเก่า อาหารเช้าหลากหลาย ไก่ตุ๋นอร่อย ได้ขึ้นชมวิวฟรีทั้งเย็นและเช้า,9.7
48,จองห้องปลอดบุหรี่ไป แต่ห้องพักมีกลิ่นบุหรี่คลุ้งทั้งห้อง พนักงานฉีดสเปรย์ดับกลิ่นก็ยังไม่สามารถดับกลิ่นบุหรีในห้องได้เลย,6.9
49,ห้องพักถือว่าโอเคเลย แต่วุ่นวายมาก มีแต่ทัวร์ ไม่ว่าจะทางขึ้นโรงแรม ลิฟต์ ดูวุ่นวายไปหมด เสียงดัง ความเป็นระเบียบไม่มี,6.2
50,รร ห้องกว้าง. วิวดี. เตียงนอนสบาย แม้ไม่หรูหรา แต่ก็นอนหลับสบาย แขกสามารถ ขึ้นไปชมวิวบนชั้น80 กว่าๆ ได้ วิวดีมาก สามารถเดินมาขึ้น รถเมล์ที่วื่งไปสนามบินดอนเมืองได้ที่ป้ายหน้ารร อินทรา ถ้ามาจากดอนเมือง ก็นั่ง A3 มาลงแถวๆ หน้า รร ได้ สะดวกมาก ข้อเสีย สระว่ายน้ำเล็กและ ไม่สวย สรุป ถือว่าดีเลย,8.5
51,ดีมากเลยค่ะ สะดวกสบาย พนักงานบริการดี,10
52,พนง.บริการดีมาก ห้องสะอาด แต่ที่ปรับอุณหภูมิของตู้เย็นเสีย ทำให้ตู้เย็นอุ่น ห้อง4801 แจ้งฟร้อนไปแล้ว ทำเลสะดวกมากค่ะ,8.5
53,พนักงานบริการดีมากค่ะ ยิ้มแย้มทักทายตลอดเวลาที่เดินผ่าน อาหารเช้ารสชาติดีมีให้เลือกหลากหลาย ห้องพักสะอาด กว้างใหญ่ วิวสวย,10
54,ห้องกว้างมาก สะอาด วิวสวย อาหารเช้าก็ดีมาก,9.7
