,Review,Rating
41,ห้องกว้างปลอยภัยดี ที่เด่นสุดคืออยู่ใกล้รถไฟฟ้ามาก บีทีเอสมีทางเชื่อมแล้วด้วย เวลาหิวก็มีเซเว่นในตัวอาคาร ลงMRT ข้ามฝั่งไปยูเนี่ยนกับเซนทรัลลาดพร้าวรึจะต่อไปแถวเกษตรก็ได้ มีwelcome drinkด้วย ฟิตเนสก็ครบครันดี อุปกรณ์คุณภาพสูงกว่าทั่วไป แต่หักคะแนนเรื่องคีย์การ์ด มัดจำ500 เยอะไปหน่อยถือเป็นค่าตกใจ,9.7
42,สะดวกสบายใกล้รถไฟฟ้า ใกล้ห้างสรรพสินค้าต่างๆ,8.5
43,ห้องพักดี สะอาด อาหารอร่อย มาพักเป็นประจำทุกเดือน,9.7
44,มีเสียงเคาะอะไรก็ไม่รู้ดังมาจากผนังห้องข้างๆ โทรไปถามที่ฟร้อน ฟร้อนบอกไม่มีคนพักนะ งงจะไม่มีคนพักได้ไง เสียงเคาะดังทั้งคืน ยิ่งช่วงดึกๆเคาะดังนึกว่าคนเมาทะเลาะกัน,6.6
45,ไฟตก น้ำไหลเอื่อยมาก ลงไปแจ้งปัญหาบอกเป็นทั้งตึก,6
46,พัก2วัน ทำคีย์การ์ดให้วันเดียว ต้องลงมาแจ้งใหม่เข้าห้องไม่ได้ ขอวิวสระ ก็ได้ห้องสุดท้ายแบบไม่เห็นวิวเลย มื้อเช้า รร. ก็แย่ลงทุกวัน อาหารมีให้เลือกน้อย,6
47,ห้องพักสะอาดได้มาตรฐาน เสียแต่วิวไม่ดีเท่าไร,8.5
48,โรงแรมดีมาก ดีเหมือนพนักงานเลย เตียงนุ่มสุด แนะนำให้มาพักเลย อย่างชอบ ไว้วันหลังจะไปอีก🥰,9.4
49,ห้องพักสะอาด การเดินทางสะดวกมากๆ ประทับใจคะ,9.7
50,ที่พัก ดีมาก สะอาด สวยงาม สิ่งอำนวยความสะดวกครบ เดินทางสะดวก ใกล้ห้างสรรพสินค้า พนักงานน่ารัก,9.7
51,ดีค่ะ สะอาด เดินทางสะดวกมีMRT อยุ่หน้ารร.,8.5
52,บริการดีมาก พนักงานยิ้มแย้ม ห้องสะอาด ติดรถไฟฟ้า ติดห้าง,8.5
53,ที่จอดรถหายากทุกครั้งที่ไป จนจำแล้วว่าไปพักที่นี่จะต้องขุ่นใจเรื่องที่จอดทุกครั้ง,6
54,เดินทางสะดวก ที่พักสบาย ใกล้เซนทรัลฯ หาของกินง่าย,9.7
55,ดีมาก ติดอย่างเดียวผนังบางไปนิด,8.5
56,พื้นที่ล็อบบี้แคบที่นั่งไม่พอ พอเวลารอก็นานแล้วพนักงานก็พูดไม่ค่อยโอเค ผ้าห่มมีกลิ่นเหม็น ชอบตรงแอร์เย็นสะใจ,6
57,ไม่ได้เรื่องค่ะ รีเซฟชั่นหน้าตาไม่รับแขกมาก รีเควสเตียงเดี่ยว ก็เอาเตียงคู่มาให้ พอโทรสอบถามตอบมาห้วนๆว่าเต็ม จะไม่กลับมาใช้บริการอีก,6
58,เดินทางสะดวก ใกล้ mrt อาหารอร่อย บริการประทับใจมากค่ะ,10
59,ดีมาก ถ้าเข้า กรุงเทพฯ อีก ก็จะเลือกที่นี่,10
60,วิวดี เดินทางสะดวก ใก้ mrt มากๆ มีเซเว่นข้างล่าง เวลาหิวกลางคืน ด้วย 55555 เดินข้ามสะพานก้เจอแหล่งช็อป ใกล้ยูเนี่ยนและเซนทรัลลาดพร้าว,8.5
61,พนักงานต้อนรับหน้าโรงแรมที่ดูแลกระเป๋าดูแลดีมากกกก พนักงานหน้าฟร้อนท์ควรจะอาย ไม่บอกอะไรนอกจากเบอร์ห้อง ลิฟท์ทางไหน พนักงานที่ส่งกระเป๋าต้องมาคอยบอกว่าห้องยิมอยู่ตรงไหนไปยังไง กินเช้าที่ไหน ห้องพักสะอาดสะอ้านดีมาก เตารีดมีบริการถ้าขอใช้ สถานที่ตั้งคือเป็นเลิศ อยู่ใกล้กับ MRT ตรงข้ามกับยูเนี่ยนมอลล์ กลับไปพักอีกแน่นอน,9.1
62,ได้ห้องตรงตามที่แจ้งขอไว้ทุกครั้งค่ะ,9.7
63,ที่พักดี ห้องสวย สะดวกสบาย เดินทางง่าย มี MRT ฝั่งตรงข้ามเป็นยูเนี่ยนมอลล์ และเซ็นทรัลลาดพร้าว คุ้มค่ามากๆค่ะ,8.5
64,ทำเลดีมากครับ สะดวกมากในการเดินทาง,8.5
65,มาพักหลายครั้งและประทับใจทุกครั้งเลยค่ะ เดินทางสะดวกใกล้mrt เดินหาของกินง่าย พนง.บริการพูดดีทุกครั้งเลยค่ะ ห้องสวยสะอาดและดูใหม่จริงๆ,9.4
66,อยู่ติดmrt ตรงข้ามยูเนียนมอลล์ เดินทางสะดวก ปลอดภัย ห้องพักสะอาด พนักงานมีความสุภาพ ยิ้มแย้มแจ่มใส,8.5
67,ที่จอดรถมีน้อยมาก และให้จอดห้องพักละ 1 คัน มาสองคัน ต้องเสียค่าจอดรถรายชั่วโมง,6.4
68,โรงแรมบริการดีมากๆค่ะ ที่พักสะอาด,8.5
69,มาพักครั้งที่สองแล้วพนง.ต้อนรับดีมากๆ ให้ความช่วยเหลือได้ดี ห้องดีเหมือนเดิมแต่ติดตรงที่ในห้องน้ำมีเศษขยะนิดนึงแล้วก็ปลอกหมอนมีรอยเปื้อนนิดๆ เดินทางสะดวกเดินไปกินข้าวซื้อของได้สบายมากๆ,9.4
